12002-61-8;Ac2O3;Ac₂O₃;actinium(III) oxide;оксид актиния (III)
10377-51-2;LiI;LiI;lithium iodide;йодид лития
13765-03-2;LiIO3;LiIO₃;lithium iodate;иодат лития
13568-33-7;LiNO2;LiNO₂;lithium nitrite;нитрит лития
7790-69-4;LiNO3;LiNO₃;lithium nitrate;нитрат лития
1310-65-2;LiOH;LiOH;lithium hydroxide;гидроксид лития
12031-66-2;LiTaO3;LiTaO₃;lithium tantalate;танталат лития
1303-94-2;Li2B4O7_5H2O;Li₂B₄O₇_₅H₂O;lithium tetraborate pentahydrate;пентагидрат тетрабората лития
554-13-2;Li2CO3;Li₂CO₃;lithium carbonate;карбонат лития
14307-35-8;Li2CrO4;Li₂CrO₄;lithium chromate;хромат лития
7789-01-7;Li2CrO4_2H2O;Li₂CrO₄_₂H₂O;lithium chromate dihydrate;дигидрат хромата лития
13843-81-7;Li2Cr2O7;Li₂Cr₂O₇;lithium dichromate;дихромат лития
13568-40-6;Li2MoO4;Li₂MoO₄;lithium orthomolybdate;ортомолибдат лития
12031-63-9;Li2NbO3;Li₂NbO₃;lithium metaniobate;метаниобат лития
12057-24-8;Li2O;Li₂O;lithium oxide;оксид лития
12031-80-0;Li2O2;Li₂O₂;lithium peroxide;перекись лития
12136-58-2;Li2S;Li₂S;lithium sulfide;сульфид лития
13453-87-7;Li2SO3;Li₂SO₃;lithium sulfite;сульфит лития
10377-48-7;Li2SO4;Li₂SO₄;lithium sulfate;сульфат лития
15593-51-8;Li2SeO3;Li₂SeO₃;lithium selenite;селенит лития
15593-52-9;Li2SeO4;Li₂SeO₄;lithium selenate;селенат лития
10102-24-6;Li2SiO3;Li₂SiO₃;lithium metasilicate;метасиликат лития
63985-45-5;Li2SiO3;Li₂SiO₃;lithium orthosilicate;ортосиликат лития
14929-69-2;Li2TeO3;Li₂TeO₃;lithium tellurite;теллурит лития
15851-53-3;Li2TeO4;Li₂TeO₄;lithium tellurate;теллурат лития
12031-82-2;Li2TiO3;Li₂TiO₃;lithium metatitanate;метатитанат лития
13568-45-1;Li2WO4;Li₂WO₄;lithium orthotungstate;ортовольфрамат лития
7789-48-2;MgBr2;MgBr₂;magnesium bromide;бромид магния
12068-51-8;Mg(AlO2)2;Mg(AlO₂)₂;magnesium aluminate;алюминат магния
12044-49-4;As2Mg3;As₂Mg₃;magnesium arsenide;арсенид магния
546-93-0;MgCO3;MgCO₃;magnesium carbonate;карбонат магния
547-66-0;MgC2O4;MgC₂O₄;magnesium oxalate;оксалат магния
10233-03-1;Mg(ClO)2;Mg(ClO)₂;magnesium hypochlorite;гипохлорит магния
10326-21-3;Mg(ClO3)2;Mg(ClO₃)₂;magnesium chlorate;хлорат магния
10034-81-8;Mg(ClO4)2;Mg(ClO₄)₂;magnesium perchlorate;перхлорат магния
7786-30-3;MgCl2;MgCl₂;magnesium chloride;хлорид магния
13423-61-5;MgCrO4;MgCrO₄;magnesium chromate;хромат магния
10377-58-9;MgI2;MgI₂;magnesium iodide;йодид магния
13767-03-8;MgMoO4;MgMoO₄;magnesium molybdate;молибдат магния
15490-91-2;MgNH4PO4_6H2O;MgNH₄PO₄_₆H₂O;magnesium ammonium phosphate hexahydrate;гексагидрат фосфата магния-аммония
10377-60-3;Mg(NO3)2;Mg(NO₃)₂;magnesium nitrate;нитрат магния
13446-18-9;Mg(NO3)2_6H2O;Mg(NO₃)₂_₆H₂O;magnesium nitrate hexahydrate;гексагидрат нитрата магния
1318-93-0;MgNaAl5(Si4O10)3(OH)6;MgNaAl₅(Si₄O₁₀)₃(OH)₆;montmorillonite (clay);монтмориллонит (глина)
1309-48-4;MgO;MgO;magnesium oxide;оксид магния
1309-42-8;Mg(OH)2;Mg(OH)₂;magnesium hydroxide;гидроксид магния
12032-36-9;MgS;MgS;magnesium sulfide;сульфид магния
7757-88-2;MgSO3;MgSO₃;magnesium sulfite;сульфит магния
7487-88-9;MgSO4;MgSO₄;magnesium sulfate;сульфат магния
1313-04-8;MgSe;MgSe;magnesium selenide;селенид магния
15593-61-0;MgSeO3;MgSeO₃;magnesium selenite;селенит магния
14986-91-5;MgSeO4;MgSeO₄;magnesium selenate;селенат магния
13776-74-4;MgSiO3;MgSiO₃;magnesium metasilicate;метасиликат магния
12032-30-3;MgTiO3;MgTiO₃;magnesium metatitanate;метатитанат магния
13573-11-0;MgWO4;MgWO₄;magnesium tungstate;вольфрамат магния
13446-24-7;Mg2P2O7;Mg₂P₂O₇;magnesium pyrophosphate;пирофосфат магния
10034-94-3;Mg2SiO4;Mg₂SiO₄;forsterite;форстерит
12048-46-3;Mg3Bi2;Mg₃Bi₂;magnesium bismuthide;висмутид магния
12057-74-8;Mg3P2;Mg₃P₂;magnesium phosphide;фосфид магния
12001-29-5;Mg3(Si2O5)(OH)4;Mg₃(Si₂O₅)(OH)₄;chrysotile;хризотил
14807-96-6;Mg3(Si4O10)(OH)2;Mg₃(Si₄O₁₀)(OH)₂;talc;тальк
13446-03-2;MnBr2;MnBr₂;manganese(II) bromide;марганца (II) бромид
10031-20-6;MnBr2_4H2O;MnBr₂_₄H₂O;manganese(II) bromide tetrahydrate;тетрагидрат бромида марганца (II)
3251-96-5;Mn(CHO2)2;Mn(CHO₂)₂;manganese(II) formate;формиат марганца (II)
4247-36-3;Mn(CHO2)2_2H2O;Mn(CHO₂)₂_₂H₂O;manganese(II) formate dihydrate;дигидрат формиата марганца (II)
598-62-9;MnCO3;MnCO₃;manganese(II) carbonate;карбонат марганца (II)
7773-01-5;MnCl2;MnCl₂;manganese(II) chloride;хлорид марганца (II)
7790-33-2;MnI2;MnI₂;manganese(II) iodide;йодид марганца (II)
10377-66-9;Mn(NO3)2;Mn(NO₃)₂;manganese(II) nitrate;нитрат марганца (II)
20694-39-7;Mn(NO3)2_4H2O;Mn(NO₃)₂_₄H₂O;manganese(II) nitrate tetrahydrate;тетрагидрат нитрата марганца (II)
1344-43-0;MnO;MnO;manganese(II) oxide;оксид марганца (II)
1310-97-0;Mn(OH)2;Mn(OH)₂;manganese hydroxide;гидроксид марганца
1310-98-1;MnOOH;MnOOH;manganite;манганит
1313-13-9;MnO2;MnO₂;manganese dioxide;диоксид марганца
14333-13-2;MnO4⁻;MnO₄⁻;permanganate ion;перманганат-ион
18820-29-6;MnS;MnS;manganese sulfide;сульфид марганца
12032-88-1;MnTe;MnTe;manganese(II) telluride;теллурид марганца (II)
1317-34-6;Mn2O3;Mn₂O₃;manganese(III) oxide;оксид марганца (III)
1317-35-7;Mn3O4;Mn₃O₄;manganese(II,III) oxide;оксид марганца (II, III)
13446-56-5;MoBr2;MoBr₂;molybdenum(II) bromide;бромид молибдена (II)
13446-57-6;MoBr3;MoBr₃;molybdenum(III) bromide;бромид молибдена (III)
13478-17-6;MoCl2;MoCl₂;molybdenum(II) chloride;хлорид молибдена (II)
13478-18-7;MoCl3;MoCl₃;molybdenum(III) chloride;хлорид молибдена (III)
10241-05-1;MoCl5;MoCl₅;molybdenum(V) chloride;хлорид молибдена (V)
18868-43-4;MoO2;MoO₂;molybdenum(IV) oxide;оксид молибдена (IV)
1313-27-5;MoO3;MoO₃;Molybdenum trioxide;триоксид молибдена
14259-85-9;MoO4²⁻;MoO₄²⁻;molybdate ion;молибдат-ион
12058-18-3;MoSe2;MoSe₂;molybdenum(IV) selenide;селенид молибдена (IV)
1317-33-5;MoS2;MoS₂;molybdenum sulfide;сульфид молибдена
17655-31-1;NH2⁻;NH₂⁻;amide ion;амид-ион
107-15-3;NH2CH2CH2NH2;NH₂CH₂CH₂NH₂;ethylenediamine;этилендиамин
121-57-3;NH2C6H4SO3H;NH₂C₆H₄SO₃H;sulfanilic Acid;сульфаниловая кислота
7803-49-8;NH2OH;NH₂OH;hydroxylamine;гидроксиламин
57-13-6;(NH2)2CO;(NH₂)₂CO;urea;мочевина
7664-41-7;NH3;NH₃;ammonia;аммиак
14798-03-9;NH4⁺;NH₄⁺;ammonium ion;ион аммония
12124-97-9;NH4Br;NH₄Br;ammonium bromide;бромид аммония
506-87-6;(NH4)2CO3;(NH₄)₂CO₃;ammonium carbonate;карбонат аммония
12125-02-9;NH4Cl;NH₄Cl;ammonium chloride;хлорид аммония
7790-98-9;NH4ClO4;NH₄ClO₄;Ammonium perchlorate;Перхлорат аммония
12124-99-1;NH4HS;NH₄HS;ammonium hydrosulfide;гидросульфид аммония
13462-93-6;(NH4)H2AsO4;(NH₄)H₂AsO₄;ammonium dihydrogen arsenate;дигидроарсенат аммония
6484-52-2;NH4NO3;NH₄NO₃;ammonium nitrate;нитрат аммония
1111-78-0;NH4OCONH2;NH₄OCONH₂;ammonium carbamate;карбамат аммония
16774-21-3;(NH4)2Ce(NO3)6;(NH₄)₂Ce(NO₃)₆;ammonium cerium(IV) nitrate;нитрат аммония церия (IV)
7783-28-0;(NH4)3PO4;(NH₄)₃PO₄;ammonium phosphate;фосфат аммония
7788-98-9;(NH4)2CrO4;(NH₄)₂CrO₄;ammonium chromate;хромат аммония
16919-58-7;(NH4)2[PtCl6];(NH₄)₂[PtCl₆];ammonium hexachloroplatinate(IV);гексахлорплатинат аммония (IV)
19372-45-3;(NH4)2[Pt(SCN)6];(NH₄)₂[Pt(SCN)₆];ammonium hexathiocyanoplatinate(IV);гексатиоцианоплатинат аммония (IV)
7783-20-2;(NH4)2SO4;(NH₄)₂SO₄;ammonium sulfate;сульфат аммония
13444-85-4;NI3;NI₃;nitrogen triiodide;трийодид азота
10102-43-9;NO;NO;nitric oxide;оксид азота
10102-44-0;NO2;NO₂;nitrogen dioxide;диоксид азота
14797-65-0;NO2⁻;NO₂⁻;nitrite ion;нитрит-ион
13444-90-1;NO2Cl;NO₂Cl;nitryl chloride;хлорид нитрила
14797-55-8;NO3⁻;NO₃⁻;nitrate ion;нитрат-ион
3618-05-1;N2H2;N₂H₂;diazene;диазен
302-01-2;N2H4;N₂H₄;hydrazine;гидразин
10024-97-2;N2O;N₂O;nitrous oxide;оксид азота
10544-73-7;N2O3;N₂O₃;dinitrogen trioxide;трехокись азота
10544-72-6;N2O4;N₂O₄;dinitrogen tetroxide;четырехокись диазота
10102-03-1;N2O5;N₂O₅;dinitrogen pentaoxide;пентаоксид диазота
54410-57-0;N4H4;N₄H₄;trans-tetrazene;транс-тетразен
7784-46-5;NaAsO2;NaAsO₂;sodium metaarsenite;метаарсенит натрия
15280-09-8;NaAu(CN)2;NaAu(CN)₂;sodium dicyanoaurate(I);дицианоаурат натрия (I)
10588-01-9;Na2Cr2O7_2H2O;Na₂Cr₂O₇_₂H₂O;Sodium dichromate dihydrate;дигидрат дихромата натрия
7647-15-6;NaBr;NaBr;sodium bromide;бромид натрия
143-33-9;NaCN;NaCN;sodium cyanide;цианид натрия
532-32-1;NaC6H5COO;NaC₆H₅COO;sodium benzoate;бензоат натрия
18996-35-5;NaC6H7O7;NaC₆H₇O₇;monosodium citrate;цитрат натрия
7647-14-5;NaCl;NaCl;sodium chloride;хлорид натрия
7758-19-2;NaClO2;NaClO₂;sodium chlorite;хлорит натрия
7775-09-9;NaClO3;NaClO₃;sodium chlorate;хлорат натрия
7601-89-0;NaClO4;NaClO₄;sodium perchlorate;перхлорат натрия
7681-49-4;NaF;NaF;sodium fluoride;фторид натрия
7646-69-7;NaH;NaH;sodium hydride;гидрид натрия
141-53-7;NaHCOO;NaHCOO;sodium formate;формиат натрия
144-55-8;NaHCO3;NaHCO₃;sodium bicarbonate;бикарбонат натрия
7631-90-5;NaHSO3;NaHSO₃;sodium bisulfite;бисульфит натрия
7681-38-1;NaHSO4;NaHSO₄;sodium bisulfate;бисульфат натрия
7681-82-5;NaI;NaI;sodium iodide;йодид натрия
515-74-2;NaNH2C6H4SO3;NaNH₂C₆H₄SO₃;sodium sulfanilate;сульфанилат натрия
7632-00-0;NaNO2;NaNO₂;sodium nitrite;нитрат натрия
7631-99-4;NaNO3;NaNO₃;sodium nitrate;нитрат натрия
7681-52-9;NaOCl;NaOCl;sodium hypochlorite;гипохлорит натрия
1310-73-2;NaOH;NaOH;sodium hydroxide;гидроксид натрия
124-65-2;NaO2As(CH3)2_3H2O;NaO₂As(CH₃)₂_₃H₂O;sodium salt of cacodylic acid;натриевая соль какодиловой кислоты
13718-26-8;NaVO3;NaVO₃;sodium metavanadate;метаванадат натрия
497-19-8;Na2CO3;Na₂CO₃;sodium carbonate;карбонат натрия
62-76-0;Na2C2O4;Na₂C₂O₄;sodium oxalate;оксалат натрия
144-33-2;Na2C6H6O7;Na₂C₆H₆O₇;disodium citrate;цитрат динатрия
18198-15-7;Na2MoS4;Na₂MoS₄;sodium thiomolybdate;тиомолибдат натрия
1313-60-6;Na2O2;Na₂O₂;sodium peroxide;пероксид натрия
1313-59-3;Na2O;Na₂O;sodium oxide;оксид натрия
1313-82-2;Na2S;Na₂S;sodium monosulfide;моносульфид натрия
7757-83-7;Na2SO3;Na₂SO₃;sodium sulfite;сульфит натрия
7757-82-6;Na2SO4;Na₂SO₄;sodium sulfate;сульфат натрия
7772-98-7;Na2S2O3;Na₂S₂O₃;sodium thiosulfate;тиосульфат натрия
7681-57-4;Na2S2O5;Na₂S₂O₅;sodium disulfite;дисульфит натрия
7775-27-1;Na2S2O8;Na₂S₂O₈;sodium persulfate;персульфат натрия
12034-39-8;Na2S4;Na₂S₄;sodium tetrasulfide;тетрасульфид натрия
10102-18-8;Na2SeO3;Na₂SeO₃;sodium selenite;селенит натрия
13410-01-0;Na2SeO4;Na₂SeO₄;sodium selenate;селенат натрия
10102-20-2;Na2TeO3;Na₂TeO₃;sodium tellurite;теллурит натрия
12179-14-5;Na2Zn(OH)4;Na₂Zn(OH)₄;sodium zincate;цинкат натрия
37224-32-1;Na2ZnO2;Na₂ZnO₂;sodium zincate;цинкат натрия
15096-52-3;Na3AlF6;Na₃AlF₆;cryolite;криолит
13721-39-6;Na3VO4;Na₃VO₄;sodium orthovanadate;ортованадат натрия
13517-26-5;Na4V2O7;Na₄V₂O₇;sodium pyrovanadate;пировадат натрия
13478-45-0;NbBr5;NbBr₅;niobium(V) bromide;бромид ниобия (V)
13569-59-0;NbCl3;NbCl₃;niobium(III) chloride;хлорид ниобия (III)
10026-12-7;NbCl5;NbCl₅;niobium(V) chloride;хлорид ниобия (V)
13779-92-5;NbI5;NbI₅;niobium(V) iodide;йодид ниобия (V)
25469-93-6;NdCl2;NdCl₂;neodymium(II) chloride;хлорид неодима (II)
61393-36-0;NdI2;NdI₂;neodymium(III) iodide;йодид неодима (III)
16469-17-3;Nd(OH)3;Nd(OH)₃;neodymium hydroxide;гидроксид неодима
1313-97-9;Nd2O3;Nd₂O₃;neodymium(III) oxide;оксид неодима (III)
27016-75-7;NiAs;NiAs;nickel(III) arsenide;арсенид никеля (III)
12255-10-6;NiAsS;NiAsS;nickel arsenic sulfide;сульфид мышьяка никеля
13462-88-9;NiBr2;NiBr₂;nickel(II) bromide;бромид никеля (II)
7789-49-3;NiBr2_3H2O;NiBr₂_₃H₂O;nickel(II) bromide trihydrate;тригидрат бромида никеля (II)
13463-39-3;Ni(CO)4;Ni(CO)₄;nickel tetracarbonyl;тетракарбонил никеля
6018-94-6;NiC2O4_2H2O;NiC₂O₄_₂H₂O;nickel(II) oxalate dihydrate;дигидрат оксалата никеля (II)
7718-54-9;NiCl2;NiCl₂;nickel(II) chloride;хлорид никеля (II)
13462-90-3;NiI2;NiI₂;nickel(II) iodide;иодид никеля (II)
13478-00-7;Ni(NO3)2_6H2O;Ni(NO₃)₂_₆H₂O;nickel(II) nitrate hexahydrate;гексагидрат нитрата никеля (II)
1313-99-1;NiO;NiO;nickel(II) oxide;оксид никеля (II)
12054-48-7;Ni(OH)2;Ni(OH)₂;nickel(II) hydroxide;гидроксид никеля (II)
16812-54-7;NiS;NiS;nickel(II) sulfide;сульфид никеля (II)
7786-81-4;NiSO4;NiSO₄;nickel sulfate;сульфат никеля
12035-51-7;NiS2;NiS₂;nickel sulfide;сульфид никеля
12201-85-3;NiSe;NiSe;nickel(II) selenide;селенид никеля (II)
14396-43-1;Ni3(PO4)2;Ni₃(PO₄)₂;nickel(II) orthophosphate;ортофосфат никеля (II)
11062-77-4;O2⁻;O₂⁻;superoxide ion;ион супероксида
14915-07-2;O2²⁻;O₂²⁻;peroxide ion;пероксидный ион
14280-30-9;OH⁻;OH⁻;hydroxide ion;гидроксид-ион
10028-15-6;O3;O₃;ozone;озон
12596-80-4;O3⁻;O₃⁻;ozonide ion;озонид-ион
7719-12-2;PCl3;PCl₃;phosphorus trichloride;трихлорид фосфора
10026-13-8;PCl5;PCl₅;phosphorus pentachloride;пятихлористый фосфор
13455-00-0;P2I4;P₂I₄;diphosphorus tetraiodide;тетрайодид дифосфора
1314-56-3;P2O5;P₂O₅;phosphorus pentoxide;пятиокись фосфора
12165-69-4;P2S3;P₂S₃;diphosphorus trisulfide;трисульфид дифосфора
1314-81-4;P2Se3;P₂Se₃;diphosphorus triselenide;триселенид дифосфора
12136-91-3;P3N5;P₃N₅;triphosphorus pentanitride;пентанитрид трифосфора
7803-51-2;PH3;PH₃;phosphine;фосфин
10025-87-3;POCl3;POCl₃;phosphoryl chloride;фосфорилхлорид
7758-95-4;PbCl2;PbCl₂;lead(II) chloride;хлорид свинца(II)
13463-30-4;PbCl4;PbCl₄;lead(IV) chloride;хлорид свинца(IV)
7784-40-9;PbHAsO4;PbHAsO₄;lead hydrogen arsenate;арсенат свинца
10101-63-0;PbI2;PbI₂;lead(II) iodide;иодид свинца(II)
25659-31-8;Pb(IO3)2;Pb(IO₃)₂;lead(II) iodate;иодат свинца(II)
10099-74-8;Pb(NO3)2;Pb(NO₃)₂;lead(II) nitrate;нитрат свинца(II)
19783-14-3;Pb(OH)2;Pb(OH)₂;lead(II) hydroxide;гидроксид свинца(II)
814-93-7;PbC2O4;PbC₂O₄;lead oxalate;оксалат свинца
598-63-0;PbCO3;PbCO₃;lead carbonate;карбонат свинца
7758-97-6;PbCrO4;PbCrO₄;lead chromate;хромат свинца
7783-46-2;PbF2;PbF₂;lead(II) fluoride;фторид свинца(II)
1317-36-8;PbO;PbO;lead(II) oxide;оксид свинца(II)
1309-60-0;PbO2;PbO₂;lead dioxide;диоксид свинца
1314-87-0;PbS;PbS;lead(II) sulfide;сульфид свинца(II)
7446-14-2;PbSO4;PbSO₄;lead(II) sulfate;сульфат свинца(II)
66794-54-5;PoBr2;PoBr₂;polonium dibromide;дибромид полония
10026-02-5;PoCl4;PoCl₄;polonium tetrachloride;тетрахлорид полония
35473-38-2;PoF6;PoF₆;polonium hexafluoride;гексафторид полония
31060-73-8;PoH2;PoH₂;polonium hydride;гидрид полония
7446-06-2;PoO2;PoO₂;polonium dioxide;диоксид полония
7789-39-1;RbBr;RbBr;rubidium bromide;бромид рубидия
7791-11-9;RbCl;RbCl;rubidium chloride;хлорид рубидия
13446-71-4;RbClO3;RbClO₃;rubidium chlorate;хлорат рубидия
13510-42-4;RbClO4;RbClO₄;rubidium perchlorate;перхлорат рубидия
19073-56-4;RbCN;RbCN;rubidium cyanide;цианид рубидия
13446-74-7;RbF;RbF;rubidium fluoride;фторид рубидия
7790-29-6;RbI;RbI;rubidium iodide;иодид рубидия
1310-82-3;RbOH;RbOH;rubidium hydroxide;гидроксид рубидия
18088-11-4;Rb2O;Rb₂O;rubidium oxide;оксид рубидия
584-09-8;Rb2CO3;Rb₂CO₃;rubidium carbonate;карбонат рубидия
7488-54-2;Rb2SO4;Rb₂SO₄;rubidium sulfate;сульфат рубидия
15587-72-1;RbHSO4;RbHSO₄;rubidium bisulfate;бисульфат рубидия
13126-12-0;RbNO3;RbNO₃;rubidium nitrate;нитрат рубидия
10049-08-8;RuCl3;RuCl₃;ruthenium(III) chloride;хлорид рутения (III)
13693-08-8;RuF6;RuF₆;ruthenium hexafluoride;гексафторид рутения
20427-56-9;RuO4;RuO₄;ruthenium tetroxide;четырехокись рутения
302-04-5;SCN⁻;SCN⁻;thiocyanate;тиоцианат
7783-60-0;SF4;SF₄;sulfur tetrafluoride;тетрафторид серы
7446-09-5;SO2;SO₂;sulfur dioxide;сернистый газ
7791-25-5;SO2Cl2;SO₂Cl₂;sulfuryl chloride;сульфурилхлорид
7446-11-9;SO3;SO₃;sulfur trioxide;триоксид серы
14265-45-3;SO3²⁻;SO₃²⁻;sulfite ion;сульфит-ион
14808-79-8;SO4²⁻;SO₄²⁻;sulfate ion;сульфат-ион
71677-14-0;S2Br2;S₂Br₂;sulfur(II) bromide;бромид серы (II)
14383-50-7;S2O3²⁻;S₂O₃²⁻;thiosulfate ion;тиосульфат-ион
16057-15-1;S2O7²⁻;S₂O₇²⁻;disulfate ion;дисульфат-ион
7789-61-9;SbBr3;SbBr₃;antimony(III) bromide;сурьмы (III) бромид
10025-91-9;SbCl3;SbCl₃;antimony(III) chloride;хлорид сурьмы (III)
7647-18-9;SbCl5;SbCl₅;antimony(V) chloride;хлорид сурьмы(V)
7790-44-5;SbI3;SbI₃;antimony(III) iodide;иодид сурьмы (III)
12196-78-0;Sb2OS2;Sb₂OS₂;antimony oxysulfide;оксисульфид сурьмы
1309-64-4;Sb2O3;Sb₂O₃;antimony(III) oxide;оксид сурьмы (III)
1314-60-9;Sb2O5;Sb₂O₅;antimony(V) oxide;оксид сурьмы(V)
1345-04-6;Sb2S3;Sb₂S₃;antimony(III) sulfide;сульфид сурьмы (III)
1315-05-5;Sb2Se3;Sb₂Se₃;antimony(III) selenide;селенид сурьмы (III)
12060-08-1;Sc2O3;Sc₂O₃;scandium oxide;оксид скандия
7789-65-3;SeBr4;SeBr₄;selenium(IV) bromide;селена (IV) бромид
10026-03-6;SeCl4;SeCl₄;selenium(IV) chloride;хлорид селена (IV)
7791-23-3;SeOCl2;SeOCl₂;selenium(IV) oxychloride;оксихлорид селена (IV)
7783-43-9;SeOF2;SeOF₂;selenyl difluoride;селенилдифторид
7446-08-4;SeO2;SeO₂;selenium(IV) oxide;оксид селена (IV)
14124-68-6;SeO4²⁻;SeO₄²⁻;selenate ion;ион селената
12067-42-4;SeTe;SeTe;selenium(IV) telluride;теллурид селена (IV)
7789-66-4;SiBr4;SiBr₄;silicon(IV) bromide;бромид кремния (IV)
409-21-2;SiC;SiC;silicon carbide;Карбид кремния
10026-04-7;SiCl4;SiCl₄;silicon(IV) chloride;хлорид кремния (IV)
7803-62-5;SiH4;SiH₄;silane;силан
13465-84-4;SiI4;SiI₄;silicon(IV) iodide;иодид кремния (IV)
7631-86-9;SiO2;SiO₂;silicon(IV) dioxide;диоксид кремния(IV)
17181-37-2;SiO44⁻;SiO₄₄⁻;silicate ion;силикатный ион
12033-89-5;Si3N4;Si₃N₄;silicon nitride;нитрид кремния
10031-24-0;SnBr2;SnBr₂;tin(II) bromide;бромид олова (II)
14779-73-8;SnBr3Cl;SnBr₃Cl;tin(IV) tribromochloride;трибромхлорид олова (IV)
7789-67-5;SnBr4;SnBr₄;tin(IV) bromide;бромид олова (IV)
7772-99-8;SnCl2;SnCl₂;tin(II) chloride;хлорид олова (II)
7646-78-8;SnCl4;SnCl₄;tin(IV) chloride;хлорид олова (IV)
10101-75-4;Sn(CrO4)2;Sn(CrO₄)₂;tin(IV) chromate;хромат олова (IV)
7790-47-8;SnI4;SnI₄;tin(IV) iodide;йодид олова (IV)
18282-10-5;SnO2;SnO₂;tin(IV) oxide;оксид олова (IV)
1314-95-0;SnS;SnS;tin(II) sulfide;сульфид олова (II)
1315-01-1;SnS2;SnS₂;tin(IV) sulfide;сульфид олова (IV)
1315-06-6;SnSe;SnSe;tin(II) selenide;селенид олова (II)
20770-09-6;SnSe2;SnSe₂;tin(IV) selenide;селенид олова (IV)
12040-02-7;SnTe;SnTe;tin(II) telluride;теллурид олова (II)
10476-81-0;SrBr2;SrBr₂;strontium bromide;бромид стронция
7789-53-9;SrBr2_6H2O;SrBr₂_₆H₂O;strontium bromide hexahydrate;гексагидрат бромида стронция
1633-05-2;SrCO3;SrCO₃;strontium carbonate;карбонат стронция
10476-85-4;SrCl2;SrCl₂;strontium chloride;хлорид стронция
814-95-9;SrC2O4;SrC₂O₄;strontium oxalate;оксалат стронция
10476-86-5;SrI2;SrI₂;strontium iodide;йодид стронция
7790-40-1;SrI2_6H2O;SrI₂_₆H₂O;strontium iodide hexahydrate;гексагидрат йодида стронция
13470-04-7;SrMoO4;SrMoO₄;strontium orthomolybdate;ортомолибдат стронция
1314-11-0;SrO;SrO;strontium oxide;оксид стронция
1314-96-1;SrS;SrS;strontium sulfide;сульфид стронция
14590-38-6;SrSeO3;SrSeO₃;strontium selenite;селенит стронция
7446-21-1;SrSeO4;SrSeO₄;strontium selenate;селенат стронция
15851-40-8;SrTeO3;SrTeO₃;strontium tellurite;теллурит стронция
15852-10-5;SrTeO4;SrTeO₄;strontium tellurate;теллурат стронция
14940-65-9;T2O;T₂O;tritium oxide;оксид трития
13451-11-1;TaBr5;TaBr₅;tantalum(V) bromide;бромид тантала(V)
7721-01-9;TaCl5;TaCl₅;tantalum(V) chloride;хлорид тантала(V)
14693-81-3;TaI5;TaI₅;tantalum(V) iodide;иодид тантала(V)
14333-20-1;TcO4⁻;TcO₄⁻;pertechnetate ion;пертехнетат-ион
7789-54-0;TeBr2;TeBr₂;tellurium(II) bromide;бромид теллура (II)
10031-27-3;TeBr4;TeBr₄;tellurium(IV) bromide;бромид теллура (IV)
10025-71-5;TeCl2;TeCl₂;tellurium(II) chloride;хлорид теллура (II)
10026-07-0;TeCl4;TeCl₄;tellurium(IV) chloride;хлорид теллура (IV)
7790-48-9;TeI4;TeI₄;tellurium(IV) iodide;йодид теллура (IV)
7446-07-3;TeO2;TeO₂;tellurium(IV) oxide;оксид теллура (IV)
15852-22-9;TeO4⁻;TeO₄⁻;tellurate ion;теллурат-ион
12187-04-1;TeY;TeY;yttrium telluride;теллурид иттрия
19024-62-5;Th(CO3)2;Th(CO₃)₂;thorium carbonate;карбонат тория
13823-29-5;Th(NO3)4;Th(NO₃)₄;thorium nitrate;нитрат тория
7789-68-6;TiBr4;TiBr₄;titanium(IV) bromide;бромид титана(IV)
7550-45-0;TiCl4;TiCl₄;titanium tetrachloride;тетрахлорид титана
1317-70-0;TiO2;TiO₂;titanium dioxide;диоксид титана
7789-40-4;TlBr;TlBr;thallium(I) bromide;таллия (I) бромид
13701-90-1;TlBr3;TlBr₃;thallium(III) bromide;таллия (III) бромид
992-98-3;Tl(CHO2);Tl(CHO₂);thallium(I) formate;формиат таллия (I)
563-68-8;TlC2H3O2;TlC₂H₃O₂;thallium(I) acetate;ацетат таллия (I)
2757-18-8;Tl(C3H3O4);Tl(C₃H₃O₄);thalliium(I) malonate;малонат таллия (I)
7791-12-0;TlCl;TlCl;thallium(I) chloride;хлорид таллия (I)
13453-32-2;TlCl3;TlCl₃;thallium(III) chloride;хлорид таллия (III)
7790-30-9;TlI;TlI;thallium(I) iodide;йодид таллия (I)
14767-09-0;TlIO3;TlIO₃;thallium(I) iodate;иодат таллия (I)
7720-83-4;TiI4;TiI₄;titanium(IV) iodide;йодид титана (IV)
10102-45-1;TlNO3;TlNO₃;thallium(I) nitrate;нитрат таллия (I)
12026-06-1;TlOH;TlOH;thallium(I) hydroxide;гидроксид таллия (I)
60969-19-9;TlPF6;TlPF₆;thallium(I) hexafluorophosphate;гексафторфосфат таллия (I)
3535-84-0;TlSCN;TlSCN;thallium thiocyanate;тиоцианат таллия
13537-18-3;TmCl3;TmCl₃;thulium(III) chloride;хлорид тулия (III)
13775-13-8;UBr2;UBr₂;uranium dibromide;дибромид урана
13470-19-4;UBr3;UBr₃;uranium tribromide;трибромид урана
13775-16-1;UBr5;UBr₅;uranium pentabromide;пентабромид урана
12070-09-6;UC2;UC₂;uranium carbide;карбид урана
10025-93-1;UCl3;UCl₃;uranium trichloride;трихлорид урана
